name,source,gender,wikidata,type
A2,,,,way
"Acces parcare subterana vizitatori si rezidenti Como Park Virtutii 56E",,,,way
"Aleea Adjud",,,,way
"Aleea Agigea",,,,way
"Aleea Alexandru",,,,way
"Aleea Alexandru Brătescu-Voinești",,,,way
"Aleea Alexandru Moruzi Voievod",,,,way
"Aleea Alexandru Tzigara Samurcaș",,,,way
"Aleea Alexandru cel Bun",,,,way
"Aleea Aleșd",,,,way
"Aleea Aliorului",,,,way
"Aleea Amintirilor",,,,way
"Aleea Apahida",,,,way
"Aleea Apostol Mărgărit",,,,way
"Aleea Argedava",,,,way
"Aleea Arhitect Petre Antonescu",,,,way
"Aleea Arieșul Mare",,,,way
"Aleea Arinii Dornei",,,,way
"Aleea Ariniș",,,,way
"Aleea Artelor",,,,way
"Aleea Arubium",,,,way
"Aleea Arutela",,,,way
"Aleea Avrig",,,,way
"Aleea Baia de Arieș",,,,way
"Aleea Banul Udrea",,,,way
"Aleea Banul Udrea 5",,,,way
"Aleea Barajul Bicaz",,,,way
"Aleea Barajul Bistrița",,,,way
"Aleea Barajul Bistriței",,,,way
"Aleea Barajul Cucuteni",,,,way
"Aleea Barajul Dunării",,,,way
"Aleea Barajul Iezeru",,,,way
"Aleea Barajul Lotru",,,,way
"Aleea Barajul Rovinari",,,,way
"Aleea Barajul Sadului",,,,way
"Aleea Barajul Uzului",,,,way
"Aleea Bârsănești",,,,way
"Aleea Belvedere",,,,way
"Aleea Berevoiești",,,,way
"Aleea Bistricioara",,,,way
"Aleea Blăjel",,,,way
"Aleea Borcea",,,,way
"Aleea Botorani",,,,way
"Aleea Bran",,,,way
"Aleea Brașoveni",,,,way
"Aleea Brădișului",,,,way
"Aleea Buchetului",,,,way
"Aleea Bucșenești",,,,way
"Aleea Budacu",,,,way
"Aleea Buga",,,,way
"Aleea Buhuși",,,,way
"Aleea Buridava",,,,way
"Aleea Buzoieni",,,,way
"Aleea Băiculești",,,,way
"Aleea Băiuț",,,,way
"Aleea Bărbătești",,,,way
"Aleea Bărăganu",,,,way
"Aleea Calistrat Hogaș",,,,way
"Aleea Callatis",,,,way
"Aleea Câlnău",,,,way
"Aleea Câmpineanca",,,,way
"Aleea Câmpul Moșilor",,,,way
"Aleea Câmpul cu Flori",,,,way
"Aleea Capidava",,,,way
"Aleea Carol al II-lea",,,,way
"Aleea Castanilor",,,,way
"Aleea Centrală Parcul Carol",,,,way
"Aleea Cenușăresei",,,,way
"Aleea Ceptura",,,,way
"Aleea Cetatea Veche",,,,way
"Aleea Cetățuia",,,,way
"Aleea Ciceu",,,,way
"Aleea Cindrel",,,,way
"Aleea Cioplea",,,,way
"Aleea Circului",,,,way
"Aleea Cislău",,,,way
"Aleea Ciucea",,,,way
"Aleea Coconi",,,,way
"Aleea Codrii Neamțului",,,,way
"Aleea Coloana Infinitului",,,,way
"Aleea Compozitorilor",,,,way
"Aleea Constantin Sandu-Aldea",,,,way
"Aleea Copiilor",,,,way
"Aleea Costinești",,,,way
"Aleea Covasna",,,,way
"Aleea Cozia",,,,way
"Aleea Craiovița",,,,way
"Aleea Crevedia",,,,way
"Aleea Cricovul Dulce",,,,way
"Aleea Cricovul Sărat",,,,way
"Aleea Crăiești",,,,way
"Aleea Cumidava",,,,way
"Aleea Cumințenia Pământului",,,,way
"Aleea Călinești",,,,way
"Aleea Danaide",,,,way
"Aleea Dealul Mitropoliei",,,,way
"Aleea Dealul Măcinului",,,,way
"Aleea Deda",,,,way
"Aleea Deleni",,,,way
"Aleea Diham",,,,way
"Aleea Dimitrie Anghel",,,,way
